code_muni,population,name_muni,code_state,abbrev_state
1100205,428527,Porto Velho,11,RO
1200401,336038,Rio Branco,12,AC
1302603,1802014,Manaus,13,AM
1400100,284313,Boa Vista,14,RR
1500800,471980,Ananindeua,15,PA
1501402,1393399,Belém,15,PA
1504208,233669,Marabá,15,PA
1506807,294580,Santarém,15,PA
1600303,398204,Macapá,16,AP
1721000,228332,Palmas,17,TO
2105302,247505,Imperatriz,21,MA
2111300,1014837,São Luís,21,MA
2211001,814230,Teresina,22,PI
2303709,325441,Caucaia,23,CE
2304400,2452185,Fortaleza,23,CE
2307304,249939,Juazeiro Do Norte,23,CE
2307650,209057,Maracanaú,23,CE
2403251,202456,Parnamirim,24,RN
2408003,259815,Mossoró,24,RN
2408102,803739,Natal,24,RN
2504009,385213,Campina Grande,25,PB
2507507,723515,João Pessoa,25,PB
2604106,314912,Caruaru,26,PE
2607901,644620,Jaboatão Dos Guararapes,26,PE
2609600,377779,Olinda,26,PE
2610707,300466,Paulista,26,PE
2611101,293962,Petrolina,26,PE
2611606,1537704,Recife,26,PE
2700300,214006,Arapiraca,27,AL
2704302,932748,Maceió,27,AL
2800308,571149,Aracaju,28,SE
2905701,242970,Camaçari,29,BA
2910800,556642,Feira De Santana,29,BA
2914802,204667,Itabuna,29,BA
2927408,2675656,Salvador,29,BA
2933307,306866,Vitória Da Conquista,29,BA
3106200,2375151,Belo Horizonte,31,MG
3106705,378089,Betim,31,MG
3118601,603442,Contagem,31,MG
3122306,213016,Divinópolis,31,MG
3127701,263689,Governador Valadares,31,MG
3131307,239468,Ipatinga,31,MG
3136702,516247,Juiz De Fora,31,MG
3143302,361915,Montes Claros,31,MG
3154606,296317,Ribeirão Das Neves,31,MG
3157807,202942,Santa Luzia,31,MG
3167202,214152,Sete Lagoas,31,MG
3170107,295988,Uberaba,31,MG
3170206,604013,Uberlândia,31,MG
3201308,348738,Cariacica,32,ES
3205002,409267,Serra,32,ES
3205200,414586,Vila Velha,32,ES
3205309,327801,Vitória,32,ES
3300456,469332,Belford Roxo,33,RJ
3301009,463731,Campos Dos Goytacazes,33,RJ
3301702,855048,Duque De Caxias,33,RJ
3301900,218008,Itaboraí,33,RJ
3302403,206728,Macaé,33,RJ
3302502,227322,Magé,33,RJ
3303302,487562,Niterói,33,RJ
3303500,796257,Nova Iguaçu,33,RJ
3303906,295917,Petrópolis,33,RJ
3304557,6320446,Rio De Janeiro,33,RJ
3304904,999728,São Gonçalo,33,RJ
3305109,458673,São João De Meriti,33,RJ
3306305,257803,Volta Redonda,33,RJ
3501608,210638,Americana,35,SP
3503208,208662,Araraquara,35,SP
3505708,240749,Barueri,35,SP
3506003,343937,Bauru,35,SP
3509502,1080113,Campinas,35,SP
3510609,369584,Carapicuíba,35,SP
3513009,201150,Cotia,35,SP
3513801,386089,Diadema,35,SP
3515004,240230,Embu,35,SP
3516200,318640,Franca,35,SP
3518701,290752,Guarujá,35,SP
3518800,1221979,Guarulhos,35,SP
3520509,201619,Indaiatuba,35,SP
3522505,200769,Itapevi,35,SP
3523107,321770,Itaquaquecetuba,35,SP
3524402,211214,Jacareí,35,SP
3525904,370126,Jundiaí,35,SP
3526902,276022,Limeira,35,SP
3529005,216745,Marília,35,SP
3529401,417064,Mauá,35,SP
3530607,387779,Mogi Das Cruzes,35,SP
3534401,666740,Osasco,35,SP
3538709,364571,Piracicaba,35,SP
3541000,262051,Praia Grande,35,SP
3541406,207610,Presidente Prudente,35,SP
3543402,604682,Ribeirão Preto,35,SP
3547809,676407,Santo André,35,SP
3548500,419400,Santos,35,SP
3548708,765463,São Bernardo Do Campo,35,SP
3548906,221950,São Carlos,35,SP
3549805,408258,São José Do Rio Preto,35,SP
3549904,629921,São José Dos Campos,35,SP
3550308,11253503,São Paulo,35,SP
3551009,332445,São Vicente,35,SP
3552205,586625,Sorocaba,35,SP
3552403,241311,Sumaré,35,SP
3552502,262480,Suzano,35,SP
3552809,244528,Taboão Da Serra,35,SP
3554102,278686,Taubaté,35,SP
4104808,286205,Cascavel,41,PR
4105805,212967,Colombo,41,PR
4106902,1751907,Curitiba,41,PR
4108304,256088,Foz Do Iguaçu,41,PR
4113700,506701,Londrina,41,PR
4115200,357077,Maringá,41,PR
4119905,311611,Ponta Grossa,41,PR
4125506,264210,São José Dos Pinhais,41,PR
4202404,309011,Blumenau,42,SC
4205407,421240,Florianópolis,42,SC
4209102,515288,Joinville,42,SC
4216602,209804,São José,42,SC
4304606,323827,Canoas,43,RS
4305108,435564,Caxias Do Sul,43,RS
4309209,255660,Gravataí,43,RS
4313409,238940,Novo Hamburgo,43,RS
4314407,328275,Pelotas,43,RS
4314902,1409351,Porto Alegre,43,RS
4316907,261031,Santa Maria,43,RS
4318705,214087,São Leopoldo,43,RS
4323002,239384,Viamão,43,RS
5002704,786797,Campo Grande,50,MS
5103403,551098,Cuiabá,51,MT
5108402,252596,Várzea Grande,51,MT
5201108,334613,Anápolis,52,GO
5201405,455657,Aparecida De Goiânia,52,GO
5208707,1302001,Goiânia,52,GO
5300108,2570160,Brasília,53,DF
